"Sample","Group","8","16","24","32","40","44","48"
"ERR3196800",8,0.902725654255708,0.0967116544023436,0.000562691151286365,0,0,0,1.90661726807147e-10
"ERR3196801",16,2.08125903601191e-07,0.514122084814197,0.485707883072688,0,0,0,0.000169823987211352
"ERR3196802",24,3.69815951816142e-08,9.75658158362351e-08,0.0268552021082298,0.0613444571510071,0,0.911800206193352,0
"ERR3196803",32,0,0,2.85394266491394e-05,0.00185612456282562,0.805625911513783,0.192489424496742,0
"ERR3196804",40,0,0,0,0.000481579060902906,0.180511091725889,0.15531267260364,0.663694656609568
"ERR3196805",44,0,0,0,1.0599415792381e-10,1.57717098745516e-07,0.366354969027987,0.63364487314892
"ERR3196806",48,0.0422142208946711,0.000920251014795173,0,0,0.0186159126684723,0.114516160660074,0.823733454761988
"ERR3196808",8,1.65355833896425e-06,0.496622846561593,0.503290048281023,0,0,0,8.54515990456797e-05
"ERR3196809",16,2.62307318751553e-08,0.0234858937214983,0.325233351425266,0,0,0.651112367387807,0.000168361234696864
"ERR3196810",24,0,1.13112173094482e-05,9.12431886434118e-06,0.0129809203499925,0.334952864590343,0.65204577952349,0
"ERR3196811",32,0,0,3.55154926892577e-06,0.00252152887650209,0.933536653486741,0.0639382660874881,0
"ERR3196812",40,0,0,5.9810877401233e-08,1.33790195643968e-09,3.01202191567926e-05,0.115770434172681,0.884199384459383
"ERR3196813",44,0,0,6.8397669888665e-06,3.6748954972533e-05,0.216001377627158,0,0.78395503365088
"ERR3196814",48,6.02608152357157e-06,8.80448754487994e-08,0,0,3.66856151737183e-07,4.67817228212344e-06,0.999988840845167
"ERR3196816",8,0.00159486551064318,0.916872967411643,0.0815306455667914,0,0,0,1.52151092295196e-06
"ERR3196817",16,0.000231215263608915,1.33803677924863e-05,0.994870810620771,0,0,0.00488459374782797,0
"ERR3196818",24,0,3.51186930170006e-05,1.70889069229924e-07,0.0214458033361679,0.76873897568519,0.209779931396556,0
"ERR3196819",32,0,0,1.43938978511352e-07,6.99735838055538e-10,0.859900388858653,0.00664415452730791,0.133455311975325
"ERR3196820",40,0,0,0.000204507087784177,0.000119588894800407,0.279418336718175,0.6523331343478,0.0679244329514408
"ERR3196821",44,0,0,1.90457026989906e-09,0,2.12267942167994e-10,1.18864373439507e-10,0.999999997764297
"ERR3196822",48,0,0,2.00394395970529e-06,0,6.73223009143463e-08,0.00324736316903079,0.996750565564709
