"Sample","Group","8","16","24","32","40","44","48"
"ERR3196800",8,0.903233896037258,0.0967661038392222,0,0,0,0,1.23519854236035e-10
"ERR3196801",16,3.75608681938109e-07,0.927845670774197,0.0721539536171207,0,0,0,0
"ERR3196802",24,0,5.92490029579903e-08,0.0281141005810038,0.0173429324908825,0,0.954542907679111,0
"ERR3196803",32,0,0,4.62252849966925e-06,0.00825654308386482,0.135493915066989,0.856244919320646,0
"ERR3196804",40,0,0,0,3.48868563018258e-06,0.212916776130839,0.00423738865803771,0.782842346525494
"ERR3196805",44,0,0,0,0,1.53346031328345e-07,0.366698331531457,0.633301515122511
"ERR3196806",48,0.179759663080219,0.000871514739522616,0,0,0,0.107265783191929,0.712103038988329
"ERR3196808",8,3.32959013065385e-06,0.999995276613251,0,0,0,0,1.39379661858576e-06
"ERR3196809",16,4.76401291299422e-07,0.426549672708152,0.573449850890557,0,0,0,0
"ERR3196810",24,0,0,1.28601935918775e-05,0.00337346870742878,0.077593294881095,0.919020376217884,0
"ERR3196811",32,0,0,3.62070980884437e-07,0.0344375449693762,0.0923311995239524,0.873230893435691,0
"ERR3196812",40,0,0,0,0,3.01202209986074e-05,0.115770441251902,0.884199438527099
"ERR3196813",44,0,0,3.65441025385835e-06,2.66171393152141e-07,0.822034258839038,0.177961820579315,0
"ERR3196814",48,0,8.80454618393771e-08,0,0,3.66858595047934e-07,4.67820343937289e-06,0.999994866892504
"ERR3196816",8,0.00173644131206011,0.998263545045035,0,0,0,0,1.3642904843391e-08
"ERR3196817",16,0.18073231423198,0.0104589325058636,0.808808753262156,0,0,0,0
"ERR3196818",24,0,0,7.39056762564658e-07,0.0927482726405488,0,0.907250988302689,0
"ERR3196819",32,0,0,1.86529831628807e-08,2.28735228146996e-08,0.782810539410603,0.217189419062891,0
"ERR3196820",40,0,0,0,0.000128332019244637,0.299846565392788,0.700025102587968,0
"ERR3196821",44,0,0,0,0,8.86233488628843e-11,6.22294582529802e-12,0.999999999905154
"ERR3196822",48,0,0,0,0,2.07309443863535e-05,0.999979269055614,0
