,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,0.08002402817766038,0.0003968014820951787,0.0,0.0,0.0,1.2341891378317596e-10,0.11681816714950555,0.008594480892358185,0.00016574637859610193,0.0,0.0,0.0002539576483254645,6.719426057698207e-11,0.7856776059433289,0.008068517487228737,0.0,0.0,0.0,0.0,6.946502885046979e-07
ERR3196801,4.1166474785269205e-11,0.0,0.019539388453532636,0.0,0.0,0.0,5.155149458698771e-05,5.130420927663578e-08,0.013750649670193902,0.21783588169033172,0.0,0.0,0.510429869807946,3.1444924137330367e-05,5.0369964503567495e-08,0.23751121579027087,0.0,0.0,0.0,0.0,0.0008498964536602087
ERR3196802,0.0,9.291369893062644e-09,0.0,0.0037570058074585075,0.0,0.0,0.0,8.386886045142668e-09,2.5851625775655233e-11,0.0029223133322872847,0.010155021759227353,0.0,0.20678297914750568,0.0,0.0,1.2809281551172395e-08,0.0031680545573318916,0.0,0.5917499504496262,0.0,0.18146464443317392
ERR3196803,0.0,0.0,2.0365544894738108e-05,0.0,0.025278807051902476,0.0,0.0,0.0,0.0007948385492316046,3.4759257292084326e-07,1.0274588966347355e-05,0.5487769446805616,0.14254967515263228,0.0,0.0,0.0,4.219768822000653e-07,0.0013642941914504296,0.022557346784938693,0.0,0.2586466838859668
ERR3196804,0.0,0.0,0.0,0.000405417894608788,0.0,0.0005957397322346868,0.0,0.0,0.0,0.0024473902164470376,7.119703335865163e-05,0.01260047701331424,0.0029816634169971606,0.0,0.0,0.0,0.001744694368019513,2.945312778052931e-06,0.16715389694762509,0.15108418559381415,0.6609123924708027
ERR3196805,0.0,0.0,0.0,0.0,1.6802624422019436e-08,0.0,0.0009363577059428469,0.0,0.0,1.7023327053951872e-09,1.059941577385209e-10,1.363998191915922e-07,7.163515435824157e-09,0.6324571654834593,0.0,0.0,0.0,4.577408342519081e-11,4.514654856198077e-09,0.36635496122404376,0.00025134885183901554
ERR3196806,0.14009754093545235,0.016548027562434345,0.0,0.0,0.0,0.05773400936016769,0.0,0.01562024504640138,0.0007760977714218263,0.0,0.0,0.015699812445412447,0.001055821338336004,0.6341391103543238,0.01998130521752863,0.0,0.0,0.0,0.0,0.03778788087277749,0.06056014909574415
ERR3196808,4.5716608334660825e-10,5.452136390989599e-06,0.40623616728014095,0.0,0.0,0.0,5.587125102900803e-07,0.0,0.09725753666704044,0.1621779910486935,0.0,0.0,0.030660872609285367,4.2614898044826534e-07,1.334230861802861e-06,0.30359167236063295,0.0,0.0,0.0,0.0,6.798834829721526e-05
ERR3196809,1.1346608518933534e-08,8.76293400053647e-11,0.018263885954567863,0.0,0.0,0.0,0.0,4.002784035699113e-11,0.0,0.16986493716461595,0.0,0.0,0.37663112610749827,9.738730915390738e-05,3.786336202109769e-09,0.013585241174882988,0.419932266929255,0.0,0.0,0.0,0.0016251400994239658
ERR3196810,0.0,0.0,4.265514932125718e-07,0.0016500646235914778,0.0,0.0,0.0,0.0,1.0344136723588473e-05,0.0,0.0005387780130029017,0.2559695773853192,0.5962975079433666,0.0,0.0,2.647345251553627e-06,7.917661093307644e-06,0.009682241723722425,0.05034566106262498,0.0,0.08549483355381064
ERR3196811,0.0,0.0,2.927991207434999e-06,1.4725804067322098e-09,0.006987321516185776,0.08564288193682981,0.0,0.0,0.0,1.8848052972600646e-08,0.0,0.7628177493066863,0.05310883587728456,0.0,0.0,0.0,3.172661645113637e-09,0.0020944479308291877,0.005615470729141728,0.0,0.08373034121854023
