,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,0.08005768432224994,0.00039696836707158974,0.0,0.0,0.0,1.2347082075289452e-10,0.11686729800699679,0.008598095520341461,0.0,0.0,0.0,0.0,6.722252083582017e-11,0.7860080426847499,0.008071910907896974,0.0,0.0,0.0,0.0,0.0
ERR3196801,1.5197066376859298e-10,0.0,0.07213184632409418,0.0,0.0,0.0,0.00019030813037824025,1.8939524889032002e-07,0.05076206715607617,0.0,0.0,0.0,0.0,0.00011608246803326318,1.8594637941519243e-07,0.8767993204278192,0.0,0.0,0.0,0.0,0.0
ERR3196802,0.0,4.166003038993618e-08,0.0,0.0,0.0,0.0,0.0,3.760456547730938e-08,1.1591181148079962e-10,0.013102875424527363,0.045532415560782837,0.0,0.9271598585089873,0.0,0.0,5.743341023302999e-08,0.014204713691784627,0.0,0.0,0.0,0.0
ERR3196803,0.0,0.0,0.00010619137613750753,0.0,0.13181043383963795,0.0,0.0,0.0,0.0,1.812440268326832e-06,5.3574443857162876e-05,0.0,0.7432919792057127,0.0,0.0,0.0,2.2002998717023076e-06,0.007113793340435555,0.11762001505407915,0.0,0.0
ERR3196804,0.0,0.0,0.0,0.0,0.0,0.000598491297458457,0.0,0.0,0.0,0.0,7.152587374049156e-05,0.012658675304408062,0.0029954349365438294,0.0,0.0,0.0,0.0,2.958916403553645e-06,0.1679259368586337,0.15178200373225217,0.6639649730805597
ERR3196805,0.0,0.0,0.0,0.0,1.68026244531732e-08,0.0,0.0009363577076789486,0.0,0.0,0.0,0.0,1.3639981944449124e-07,7.1635154491060385e-09,0.6324571666560987,0.0,0.0,0.0,0.0,4.514654864568703e-09,0.36635496190330286,0.0002513488523050417
ERR3196806,0.0,0.0,0.0,0.0,0.0,0.06854339858039399,0.0,0.018544783118381456,0.000921404549475537,0.0,0.0,0.018639247715676228,0.0,0.7528673355296421,0.023722353303709528,0.0,0.0,0.0,0.0,0.04486280805500793,0.07189866914771327
ERR3196808,5.664353420457526e-10,6.75527527961617e-06,0.503332444699803,0.0,0.0,0.0,6.922528232074953e-07,0.0,0.12050348452195846,0.0,0.0,0.0,0.0,5.280047061576331e-07,1.6531311969622074e-06,0.3761544415477973,0.0,0.0,0.0,0.0,0.0
ERR3196809,1.9619093247159226e-08,1.5151736220417857e-10,0.03157955797983477,0.0,0.0,0.0,0.0,6.921098327626301e-11,0.0,0.2937085593544981,0.0,0.0,0.6512220079291235,0.0,6.5468446267738395e-09,0.02348984834987745,0.0,0.0,0.0,0.0,0.0
ERR3196810,0.0,0.0,6.477299254025386e-07,0.0025056675514101216,0.0,0.0,0.0,0.0,1.5707850083611302e-05,0.0,0.0008181489168928595,0.0,0.9054938184107916,0.0,0.0,0.0,1.2023181517207708e-05,0.014702744707801748,0.07645124165157756,0.0,0.0
