,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
PF3D7_0731500,-0.9026511274215576,-1.4311249756861402,-1.2443286359704222,-0.964284594347394,-1.347841221438205,-1.0472564281213619,0.4574962824349753,-1.3423628120033255,-1.4514346462785532,-1.2910195224799381,-1.192541968507685,-1.2782442991971208,-1.3337217778944594,-0.7724346775994924,-1.2929518200276293,-1.475503980362092,-1.2157506094737291,-1.2318167970944276,-1.2724300472157226,-1.0836424100306592,-1.2428881777019118
PF3D7_0820400,0.3360136789749221,-0.5033220598020219,-1.453583623028585,-1.5983817804665479,-1.2754495073974415,-1.2312252150832008,-1.1403995038871204,0.9662099870748512,-0.8445792060667189,-1.7017514330917014,-1.6041581872735164,-1.2929728271781624,-1.3070999251677635,-1.3570704179695632,0.34924989278763346,-1.1397391541753006,-1.6501472407738018,-1.4500756342523762,-1.4445950666885787,-1.0627975132292635,-1.2807055263786196
PF3D7_0935900,0.4380604672465781,-0.40748546164273786,-1.6715214282423443,-1.3045032666515644,-1.150784468169821,-1.3298629751651672,-1.5006019055086741,-0.4814586734890788,-1.302816776769619,-1.4618037626424778,-1.3998192920026091,-1.3890217275579444,-1.3920614533000926,-1.4814906752240646,0.7021023517588647,-1.0211336541664375,-1.503007194964558,-1.3135235370163063,-1.2880681880897307,-1.2001675926512447,-1.2748171213259794
PF3D7_1133500,0.0002555371028228108,9.544617326385801e-05,-1.3453142609447533,-1.3996761152480584,-1.4088370172236329,-1.5065912700673927,-1.6476359874046964,0.9265942308752604,-0.7993398174504238,-1.4753390982863663,-1.581536113173803,-1.286593849569848,-1.3395368910896988,-1.3296485692158402,0.578404926942214,-1.1082198044098088,-1.5293739682371787,-1.5019692910658262,-1.344889783181267,-1.304180215731891,-1.4371875247358035
PF3D7_1223700,1.11909771414623,0.6045518020311099,-1.5551570908748953,-1.5487646387471838,-1.434082723375538,-1.41047491845243,-1.4822626231352873,1.3492086430781585,-1.210719501332565,-1.3733714122500087,-1.6115489338343079,-1.5527880391688405,-1.6365781208259427,-1.5110719908931822,0.6543040160334381,-0.9910319546644007,-1.652088853224014,-1.4333234279198797,-1.3828685143698016,-1.4717280569596718,-1.436321245354522
PF3D7_1253000,1.0796909080325203,-0.6402983312747194,-1.4656198467240458,-1.4893643387240514,-1.5395574433288663,-1.446933569617428,-1.0237004614569578,0.7899104531466996,-1.0608207206961142,-1.5038843048003134,-1.4678691771954044,-1.5769171634516352,-1.5254927282500057,-1.0423123800942087,0.8182153878993742,-0.8535601517716951,-1.5914849716919346,-1.581121565689095,-1.2549811520786767,-1.3369690559949752,-1.3244034711752344
PF3D7_1329500,0.8066341455556969,-1.1107253661580072,-1.4389256919704714,-1.3336416163488662,-1.234393160007283,-1.3258599320030144,-1.446940577767742,-1.3809145008508985,-1.257086026766305,-1.352619722213016,-1.326534841339225,-1.329201235236417,-1.405593801445227,-1.4364285468572027,0.4940337572989987,-1.1760135251449533,-1.3008260472151916,-1.2905549574833939,-1.1208510825137967,-1.1584168823321848,-1.2477165150710061
PF3D7_1458300,0.36345837921269136,0.6140316555967136,-0.6268649372597361,-1.3005610134128318,-1.392772495968708,-1.396796786771333,-1.439164838155064,0.14373894772822698,-0.3741720631499665,-1.2139369601255077,-1.3614302165721335,-1.4778918891319566,-1.4353950532975752,-1.402371807575834,0.37825602013660914,-0.8468717639552312,-1.252422227824418,-1.3910753102836213,-1.3646731367792895,-1.3548597627176546,-1.4897009279853604
