,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,0.08005768432224994,0.00039696836707158974,0.0,0.0,0.0,1.2347082075289452e-10,0.11686729800699679,0.008598095520341461,0.0,0.0,0.0,0.0,6.722252083582017e-11,0.7860080426847499,0.008071910907896974,0.0,0.0,0.0,0.0,0.0
ERR3196801,1.5197066376859298e-10,0.0,0.07213184632409418,0.0,0.0,0.0,0.00019030813037824025,1.8939524889032002e-07,0.05076206715607617,0.0,0.0,0.0,0.0,0.00011608246803326318,1.8594637941519243e-07,0.8767993204278192,0.0,0.0,0.0,0.0,0.0
ERR3196802,0.0,4.289041362794301e-08,0.0,0.017342925202535896,0.0,0.0,0.0,0.0,1.1933513951484338e-10,0.013489854457934995,0.0,0.0,0.954542506533599,0.0,3.77358386835399e-07,5.912964291915306e-08,0.014624234308151723,0.0,0.0,0.0,0.0
ERR3196803,0.0,0.0,0.00010619137613750753,0.0,0.13181043383963795,0.0,0.0,0.0,0.0,1.812440268326832e-06,5.3574443857162876e-05,0.0,0.7432919792057127,0.0,0.0,0.0,2.2002998717023076e-06,0.007113793340435555,0.11762001505407915,0.0,0.0
ERR3196804,0.0,0.0,0.0,0.00047994140604331345,0.0,0.0007052480132888168,0.0,0.0,0.0,0.0,8.428440073972813e-05,0.014916684080810176,0.0035297498007146625,0.0,0.0,0.0,0.0,3.486717223718274e-06,0.19787995891023832,0.0,0.7824006466709412
ERR3196805,0.0,0.0,0.0,0.0,1.68026244531732e-08,0.0,0.0009363577076789486,0.0,0.0,0.0,0.0,1.3639981944449124e-07,7.1635154491060385e-09,0.6324571666560987,0.0,0.0,0.0,0.0,4.514654864568703e-09,0.36635496190330286,0.0002513488523050417
ERR3196806,0.15197664295055666,0.0,0.0,0.0,0.0,0.06262937142256393,0.0,0.016944711437232758,0.0008419043840065727,0.0,0.0,0.017031025487495643,0.0,0.6879088134723621,0.021675553107170877,0.0,0.0,0.0,0.0,0.04099197773861149,0.0
ERR3196808,5.664353420457526e-10,6.75527527961617e-06,0.503332444699803,0.0,0.0,0.0,6.922528232074953e-07,0.0,0.12050348452195846,0.0,0.0,0.0,0.0,5.280047061576331e-07,1.6531311969622074e-06,0.3761544415477973,0.0,0.0,0.0,0.0,0.0
ERR3196809,3.5444467937539227e-07,2.737360090484379e-09,0.5705261788589481,0.0,0.0,0.0,0.0020562128765481483,1.2503872868927183e-09,0.0,0.0,0.0,0.0,0.0,0.0030421789480697876,1.1827734418833869e-07,0.4243749526066631,0.0,0.0,0.0,0.0,0.0
ERR3196810,0.0,0.0,6.477374960191617e-07,0.0025056968374561617,0.0,0.0,0.0,0.0,0.0,0.0,0.000818158479353304,0.0,0.9055044017516022,0.0,0.0,4.020112018421658e-06,1.2023322043211353e-05,0.01470291655233004,0.07645213520770057,0.0,0.0
